#OTUID	CN19Sc25_12_eDNA_JJ	CN19Sc34_12_eDNA_RR	CN19Sc34_11_eDNA_RR	CN19Sc34_9_eDNA_RR	CN19Sc34_8_eDNA_RR	CN19Sc34_7_eDNA_RR	CN19Sc34_6_eDNA_RR	CN19Sc34_4_eDNA_RR	CN19Sc03_12_eDNA_JJ	CN19Sc03_10_eDNA_JJ	CN19Sc03_9_eDNA_JJ	CN19Sc03_7_eDNA_JJ	CN19Sc03_5_eDNA_JJ	CN19Sc03_4_eDNA_JJ	CN19Sc03_3_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc12_10_eDNA_JJ	CN19Sc12_9_eDNA_JJ	CN19Sc12_7_eDNA_JJ	CN19Sc12_5_eDNA_JJ	CN19Sc12_4_eDNA_JJ	CN19Sc12_3_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc18_10_eDNA_JJ	CN19Sc18_9_eDNA_JJ	CN19Sc18_8_eDNA_JJ	CN19Sc18_7_eDNA_JJ	CN19Sc18_5_eDNA_JJ	CN19Sc18_4_eDNA_JJ	CN19Sc18_3_eDNA_JJ	CN19Sc25_10_eDNA_JJ	CN19Sc25_9_eDNA_JJ	CN19Sc25_7_eDNA_JJ	CN19Sc25_6_eDNA_JJ	CN19Sc25_5_eDNA_JJ	CN19Sc25_4_eDNA_JJ
ASV_1463	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	4	11	2031	0	0	0	0	0	0	0	0	0	0
ASV_1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ASV_1475	0	0	0	0	0	0	0	0	0	0	0	2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_1477	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_1481	0	0	0	0	0	0	0	0	0	0	0	2125	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1517	0	0	0	0	357	2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	267	0	0	0
ASV_1524	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	9	0	0	0	299	9	0	4	0	26	0	0	0	0	0	0	0	0	0	0
ASV_1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1606	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1704	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	3	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	6
ASV_1716	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1718	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	7	0	2	0	2	0	0	9	6	0	18	43	0	0	0	0	0	0	0
