#OTUID	CN19Sc29_12_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19SESPMV1_SC58_eDNA_AT	CN19Sc03_12_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc25_12_eDNA_JJ
ASV_6346	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0
ASV_6905	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7045	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_7234	0	0	3	0	0	95	0	1	0	0	0	0	0	0	0	0	0
ASV_7540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_9348	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
ASV_11279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_11559	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_13089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_13309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_15583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_28748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_41337	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_41349	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
