FilterID,local_time,time_label,SAMPLING_cruise,depth,SAMPLING_platform,SC,ESP,SAMPLING_station_number,SAMPLING_station,SAMPLING_bottle,decimalLongitude,decimalLatitude,sample_type,Plates,Markers,Status,Dewar_name,Sampling_method,replicate,SAMPLING_rdepth,project_name,nitrate,fluor,density,pressure,minimumDepthInMeters,maximumDepthInMeters,start_GMT,end_GMT,temp,salinity,sigmat,spice,diss_oxygen,PAR (umol/s/m2),altitude,chlorophyll,bbp470 (count),bbp650 (count),SAMPLING_project,ESP_name,diel,month,day,hour,eventDate
CN19Sc05_07_eDNA,5/31/19 4:04,05-31 night,CN19S,40,WESTERN FLYER,,,5,1F,7,-122.5873,36.7333,environmental,,,Filters (racks A-D),,CTD,,41.276,CANON,4.78,0.0624,25.1679,41.586,,,,,12.5775,33.3105,,,,,,1.0587,,,,,night,5,31,4,5/31/19 11:04
CN19Sc06_12_eDNA,5/31/19 5:35,05-31 night,CN19S,0,WESTERN FLYER,,,6,2F,12,-122.525,36.8082,environmental,,,Filters (racks A-D),,CTD,,2.362,CANON,0.197,0.0888,24.7441,2.38,,,,,13.6065,33.0279,,,,,,1.7202,,,,,night,5,31,5,5/31/19 12:35
CN19Sc06_07_eDNA,5/31/19 5:35,05-31 night,CN19S,40,WESTERN FLYER,,,6,2F,7,-122.525,36.8082,environmental,,,Filters (racks A-D),,CTD,,40.55,CANON,10.412,0.0594,25.4103,40.855,,,,,12.0399,33.4905,,,,,,0.9858,,,,,night,5,31,5,5/31/19 12:35
CN19Sc06_05_eDNA,5/31/19 5:35,05-31 night,CN19S,80,WESTERN FLYER,,,6,2F,5,-122.525,36.8082,environmental,,,Filters (racks A-D),,CTD,,80.138,CANON,21.748,0.0332,25.9813,80.749,,,,,9.944,33.7429,,,,,,0.3304,,,,,night,5,31,5,5/31/19 12:35
CN19Sc06_10_eDNA,5/31/19 5:35,05-31 night,CN19S,10,WESTERN FLYER,,,6,2F,10,-122.525,36.8082,environmental,,,Filters (racks A-D),,CTD,,10.542,CANON,0.071,0.0883,24.7447,10.621,,,,,13.6154,33.0307,,,,,,1.7071,,,,,night,5,31,5,5/31/19 12:35
CN19Sc06_08_eDNA,5/31/19 5:35,05-31 night,CN19S,30,WESTERN FLYER,,,6,2F,8,-122.525,36.8082,environmental,,,Filters (racks A-D),,CTD,,30.577,CANON,3.767,0.0963,24.9417,30.806,,,,,13.3136,33.2059,,,,,,1.9071,,,,,night,5,31,5,5/31/19 12:35
CN19Sc07_12_eDNA,5/31/19 7:06,05-31 transition,CN19S,0,WESTERN FLYER,,,7,3F,12,-122.4625,36.8917,environmental,,,Filters (racks A-D),,CTD,,2.491,CANON,0.122,0.1635,24.5536,2.509,,,,,13.3141,32.7054,,,,,,3.5885,,,,,transition,5,31,7,5/31/19 14:06
CN19Sc07_10_eDNA,5/31/19 7:06,05-31 transition,CN19S,10,WESTERN FLYER,,,7,3F,10,-122.4625,36.8917,environmental,,,Filters (racks A-D),,CTD,,10.598,CANON,0.342,0.1511,24.6778,10.677,,,,,13.4256,32.8945,,,,,,3.2758,,,,,transition,5,31,7,5/31/19 14:06
CN19Sc07_08_eDNA,5/31/19 7:06,05-31 transition,CN19S,30,WESTERN FLYER,,,7,3F,8,-122.4625,36.8917,environmental,,,Filters (racks A-D),,CTD,,30.561,CANON,14.848,0.0469,25.6091,30.791,,,,,10.7636,33.4474,,,,,,0.6737,,,,,transition,5,31,7,5/31/19 14:06
CN19Sc07_07_eDNA,5/31/19 7:06,05-31 transition,CN19S,40,WESTERN FLYER,,,7,3F,7,-122.4625,36.8917,environmental,,,Filters (racks A-D),,CTD,,41.09,CANON,17.762,0.0418,25.7473,41.4,,,,,10.4789,33.5608,,,,,,0.5466,,,,,transition,5,31,7,5/31/19 14:06
CN19Sc07_05_eDNA,5/31/19 7:06,05-31 transition,CN19S,80,WESTERN FLYER,,,7,3F,5,-122.4625,36.8917,environmental,,,Filters (racks A-D),,CTD,,79.577,CANON,24.061,0.0337,26.1483,80.185,,,,,9.4013,33.8419,,,,,,0.341,,,,,transition,5,31,7,5/31/19 14:06
CN19Sc08_07_eDNA,5/31/19 8:39,05-31 transition,CN19S,40,WESTERN FLYER,,,8,4F,7,-122.3997,36.967,environmental,,,Filters (racks A-D),,CTD,,41.002,CANON,21.478,0.0426,25.9015,41.312,,,,,10.219,33.7012,,,,,,0.5647,,,,,transition,5,31,8,5/31/19 15:39
CN19Sc08_12_eDNA,5/31/19 8:39,05-31 transition,CN19S,0,WESTERN FLYER,,,8,4F,12,-122.3997,36.967,environmental,,,Filters (racks A-D),,CTD,,2.275,CANON,1.055,0.1545,24.7054,2.292,,,,,12.7996,32.7704,,,,,,3.363,,,,,transition,5,31,8,5/31/19 15:39
CN19Sc08_05_eDNA,5/31/19 8:39,05-31 transition,CN19S,80,WESTERN FLYER,,,8,4F,5,-122.3997,36.967,environmental,,,Filters (racks A-D),,CTD,,80.367,CANON,25.588,0.0371,26.1282,80.981,,,,,9.5323,33.8435,,,,,,0.4276,,,,,transition,5,31,8,5/31/19 15:39
CN19Sc08_08_eDNA,5/31/19 8:39,05-31 transition,CN19S,30,WESTERN FLYER,,,8,4F,8,-122.3997,36.967,environmental,,,Filters (racks A-D),,CTD,,30.743,CANON,15.747,0.0524,25.7099,30.974,,,,,10.6565,33.5528,,,,,,0.8101,,,,,transition,5,31,8,5/31/19 15:39
CN19Sc08_10_eDNA,5/31/19 8:39,05-31 transition,CN19S,10,WESTERN FLYER,,,8,4F,10,-122.3997,36.967,environmental,,,Filters (racks A-D),,CTD,,10.333,CANON,3.812,0.1174,24.7719,10.41,,,,,12.7536,32.8445,,,,,,2.4342,,,,,transition,5,31,8,5/31/19 15:39
CN19Sc09_08_eDNA,5/31/19 9:53,05-31 day,CN19S,30,WESTERN FLYER,,,9,5F,8,-122.3375,37.0457,environmental,,,Filters (racks A-D),,CTD,,30.733,CANON,21.443,0.0517,25.885,30.964,,,,,10.2544,33.6882,,,,,,0.7933,,,,,day,5,31,9,5/31/19 16:53
CN19Sc09_12_eDNA,5/31/19 9:53,05-31 day,CN19S,0,WESTERN FLYER,,,9,5F,12,-122.3375,37.0457,environmental,,,Filters (racks A-D),,CTD,,2.278,CANON,7.608,0.1418,25.1419,2.295,,,,,12.2233,33.1906,,,,,,3.0453,,,,,day,5,31,9,5/31/19 16:53
CN19Sc09_10_eDNA,5/31/19 9:53,05-31 day,CN19S,10,WESTERN FLYER,,,9,5F,10,-122.3375,37.0457,environmental,,,Filters (racks A-D),,CTD,,10.22,CANON,16.959,0.0786,25.6498,10.297,,,,,10.7441,33.4958,,,,,,1.4661,,,,,day,5,31,9,5/31/19 16:53
CN19Sc09_07_eDNA,5/31/19 9:53,05-31 day,CN19S,40,WESTERN FLYER,,,9,5F,7,-122.3375,37.0457,environmental,,,Filters (racks A-D),,CTD,,40.461,CANON,23.96,0.0547,25.9965,40.766,,,,,9.9702,33.769,,,,,,0.8692,,,,,day,5,31,9,5/31/19 16:53
CN19Sc09_05_eDNA,5/31/19 9:53,05-31 day,CN19S,60,WESTERN FLYER,,,9,5F,5,-122.3375,37.0457,environmental,,,Filters (racks A-D),,CTD,,60.984,CANON,24.813,0.06,26.2026,61.447,,,,,9.2957,33.8899,,,,,,1.0001,,,,,day,5,31,9,5/31/19 16:53
CN19Sc10_12_eDNA,5/31/19 12:44,05-31 day,CN19S,0,WESTERN FLYER,,,10,MARS,12,-122.1985,36.7125,environmental,"JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,2.712,CANON,3.489,0.1777,24.9882,2.732,,,,,12.8341,33.1442,,,,,,3.9423,,,,,day,5,31,12,5/31/19 19:44
