#SampleID	SAMPLING_cruise	depth	ESP	SAMPLING_station	SC	SAMPLING_station_number	diel
CN19Sc22_8_eDNA_JJ	CN19S	55	NA	OFFMARS_E	NA	22	day
CN19Sc22_4_eDNA_JJ	CN19S	115	NA	OFFMARS_E	NA	22	day
CN19Sc22_2_eDNA_JJ	CN19S	250	NA	OFFMARS_E	NA	22	day
CN19Sc39_01_eDNA_BI	CN19S	300	NA	OFFMARS_E	NA	39	day
CN19Sc39_02_eDNA_BI	CN19S	250	NA	OFFMARS_E	NA	39	day
CN19Sc39_03_eDNA_BI	CN19S	200	NA	OFFMARS_E	NA	39	day
CN19Sc39_04_eDNA_BI	CN19S	150	NA	OFFMARS_E	NA	39	day
CN19Sc39_05_eDNA_BI	CN19S	130	NA	OFFMARS_E	NA	39	day
CN19Sc39_06_eDNA_BI	CN19S	100	NA	OFFMARS_E	NA	39	day
CN19Sc39_07_eDNA_BI	CN19S	75	NA	OFFMARS_E	NA	39	day
CN19Sc39_09_eDNA_BI	CN19S	40	NA	OFFMARS_E	NA	39	day
CN19Sc39_10_eDNA_BI	CN19S	25	NA	OFFMARS_E	NA	39	day
CN19Sc39_11_eDNA_BI	CN19S	10	NA	OFFMARS_E	NA	39	day
CN19Sc39_01_eDNA_BJ	CN19S	300	NA	OFFMARS_E	NA	39	day
CN19Sc39_02_eDNA_BJ	CN19S	250	NA	OFFMARS_E	NA	39	day
CN19Sc39_03_eDNA_BJ	CN19S	200	NA	OFFMARS_E	NA	39	day
CN19Sc39_04_eDNA_BJ	CN19S	150	NA	OFFMARS_E	NA	39	day
CN19Sc39_05_eDNA_BJ	CN19S	130	NA	OFFMARS_E	NA	39	day
CN19Sc39_06_eDNA_BJ	CN19S	100	NA	OFFMARS_E	NA	39	day
CN19Sc39_07_eDNA_BJ	CN19S	75	NA	OFFMARS_E	NA	39	day
CN19Sc39_09_eDNA_BJ	CN19S	40	NA	OFFMARS_E	NA	39	day
CN19Sc39_10_eDNA_BJ	CN19S	25	NA	OFFMARS_E	NA	39	day
CN19Sc39_11_eDNA_BJ	CN19S	10	NA	OFFMARS_E	NA	39	day
